fips,county_name,elevation_m,county_label,median_income_2021,diabetes_pct,obesity_pct,oxygen_proxy_mmhg,oxygen_fraction_of_sea_level,hypoxia_burden,all_cancer_incidence_rate,all_cancer_mortality_rate,all_cancer_incidence_count,all_cancer_mortality_count,all_cancer_incidence_population,all_cancer_mortality_population
28003,Alcorn,147.729401687096,"Alcorn County, Mississippi",44068.0,10.2,29.3,146.6044847169377,0.9814624726293765,0.01853752737062353,,,,,,
28005,Amite,106.945528370784,"Amite County, Mississippi",31367.0,10.6,30.3,147.36500320089579,0.9865538608852477,0.013446139114752342,,,,,,
28007,Attala,124.874425711509,"Attala County, Mississippi",36196.0,9.9,32.2,147.03030569517875,0.9843131856277466,0.015686814372253388,,,,,,
28009,Benton,150.360849803795,"Benton County, Mississippi",39311.0,10.0,24.1,146.55551720872003,0.9811346533830104,0.018865346616989576,,,,,,
28011,Bolivar,41.7268038955575,"Bolivar County, Mississippi",33729.0,12.4,36.0,148.58739037720613,0.9947372881718577,0.005262711828142308,,,,,,
28013,Calhoun,101.351690636889,"Calhoun County, Mississippi",41142.0,11.8,25.3,147.46954749034705,0.9872537460014652,0.012746253998534796,,,,,,
28015,Carroll,95.5161964641287,"Carroll County, Mississippi",46147.0,10.1,23.7,147.57866812953603,0.987984268076285,0.012015731923714967,,,,,,
28017,Chickasaw,101.522822193617,"Chickasaw County, Mississippi",38620.0,10.2,34.0,147.46634834584913,0.9872323289194755,0.012767671080524456,,,,,,
28019,Choctaw,143.60589078776,"Choctaw County, Mississippi",37859.0,12.4,25.7,146.68124235987804,0.9819763364868083,0.018023663513191734,,,,,,
28021,Claiborne,54.2893949342625,"Claiborne County, Mississippi",31305.0,9.3,22.0,148.35133472240065,0.9931569834008893,0.006843016599110685,,,,,,
28023,Clarke,95.02786532481,"Clarke County, Mississippi",40838.0,9.9,27.6,147.58780244057206,0.9880454188897304,0.011954581110269591,,,,,,
28025,Clay,74.3901049563759,"Clay County, Mississippi",35638.0,12.1,37.9,147.97422751869004,0.9906323909962655,0.009367609003734456,,,,,,
28027,Coahoma,49.0731645025601,"Coahoma County, Mississippi",31312.0,13.3,33.9,148.44931498930663,0.9938129248286847,0.006187075171315337,,,,,,
28029,Copiah,102.592223178509,"Copiah County, Mississippi",46530.0,12.6,31.4,147.44635808713022,0.987098501575867,0.012901498424133018,,,,,,
28031,Covington,103.049434578484,"Covington County, Mississippi",40233.0,9.7,31.2,147.43781208519462,0.9870412892729351,0.012958710727064893,,,,,,
28033,DeSoto,89.4177062280067,"DeSoto County, Mississippi",73460.0,12.3,35.9,147.69277214195793,0.9887481519805513,0.011251848019448674,,,,,,
28035,Forrest,67.5494875836728,"Forrest County, Mississippi",45780.0,10.9,35.5,148.1024817880989,0.9914910056056504,0.0085089943943496,,,,,,
28037,Franklin,99.5416570348064,"Franklin County, Mississippi",40479.0,8.7,22.9,147.50338760209195,0.9874802929574558,0.012519707042544237,,,,,,
28039,George,38.9872316243472,"George County, Mississippi",47385.0,10.5,27.6,148.63890579755653,0.9950821647418567,0.004917835258143266,,,,,,
28041,Greene,52.3629946299078,"Greene County, Mississippi",49581.0,9.6,28.9,148.38751398586342,0.9933991901072166,0.0066008098927834435,,,,,,
28043,Grenada,75.9928876962235,"Grenada County, Mississippi",40808.0,12.2,39.1,147.9441892515574,0.990431295975261,0.009568704024738972,,,,,,
28045,Hancock,16.3251854468192,"Hancock County, Mississippi",58196.0,7.9,30.3,149.06556745761293,0.9979385057921569,0.002061494207843073,,,,,,
28047,Harrison,21.5040821760249,"Harrison County, Mississippi",51590.0,10.1,34.4,148.9679817207212,0.9972852055959998,0.0027147944040002425,,,,,,
28049,Hinds,80.0656315735848,"Hinds County, Mississippi",46179.0,11.7,39.4,147.86788147516972,0.9899204438070011,0.01007955619299894,,,,,,
28051,Holmes,74.5977687474769,"Holmes County, Mississippi",24958.0,12.4,37.7,147.9703353636732,0.9906063344667259,0.009393665533274143,,,,,,
28053,Humphreys,31.5586752716783,"Humphreys County, Mississippi",30327.0,8.6,29.3,148.77866199250687,0.996017780462795,0.003982219537205012,,,,,,
28055,Issaquena,28.1211599731445,"Issaquena County, Mississippi",17109.0,8.0,17.2,148.8433670114361,0.9964509564873377,0.0035490435126622755,,,,,,
28057,Itawamba,114.452715301514,"Itawamba County, Mississippi",53510.0,11.8,31.0,147.2247883847129,0.9856151748658135,0.014384825134186485,,,,,,
28059,Jackson,12.3576389167863,"Jackson County, Mississippi",55107.0,11.8,33.9,149.14036061502853,0.9984392181499993,0.0015607818500007475,,,,,,
28061,Jasper,115.432218502393,"Jasper County, Mississippi",39992.0,11.5,29.6,147.20650127131256,0.9854927494463607,0.014507250553639328,,,,,,
28063,Jefferson,80.2527051096377,"Jefferson County, Mississippi",29205.0,11.1,28.7,147.86437714441587,0.9898969836165898,0.010103016383410157,,,,,,
28065,Jefferson Davis,113.916344072453,"Jefferson Davis County, Mississippi",34771.0,10.2,30.1,147.23480305038763,0.985682219325979,0.014317780674021008,,,,,,
28067,Jones,77.9178539526267,"Jones County, Mississippi",43659.0,13.3,37.8,147.90811895849836,0.9901898187852383,0.009810181214761737,,,,,,
28069,Kemper,103.158293602784,"Kemper County, Mississippi",37667.0,9.0,28.2,147.4357773938126,0.9870276677712553,0.01297233222874472,,,,,,
28071,Lafayette,117.844385749082,"Lafayette County, Mississippi",54720.0,9.8,27.1,147.16147397972426,0.985191308484146,0.014808691515853956,,,,,,
28073,Lamar,95.2733016299762,"Lamar County, Mississippi",63925.0,10.5,32.8,147.5832114621036,0.9880146839972193,0.011985316002780744,,,,,,
28075,Lauderdale,113.785416334406,"Lauderdale County, Mississippi",43301.0,9.5,34.0,147.2372476998418,0.9856985853444035,0.014301414655596534,,,,,,
28077,Lawrence,94.7517287397632,"Lawrence County, Mississippi",39443.0,10.3,31.1,147.59296780892865,0.9880799991088082,0.011920000891191829,,,,,,
28079,Leake,125.32385698591,"Leake County, Mississippi",39660.0,11.3,34.4,147.02192311007022,0.9842570673396633,0.01574293266033666,,,,,,
28081,Lee,100.857762256301,"Lee County, Mississippi",60708.0,11.2,31.8,147.47878131520164,0.987315563022896,0.012684436977103974,,,,,,
28083,Leflore,38.178563008599,"Leflore County, Mississippi",30182.0,12.6,36.4,148.6541147432441,0.9951839829738802,0.004816017026119779,,,,,,
28085,Lincoln,130.961083727573,"Lincoln County, Mississippi",43926.0,12.4,36.1,146.91681095550155,0.9835533805777914,0.016446619422208597,,,,,,
28087,Lowndes,66.237929445632,"Lowndes County, Mississippi",49660.0,13.2,34.7,148.12708174147136,0.9916556931396648,0.00834430686033516,,,,,,
28089,Madison,85.146476415378,"Madison County, Mississippi",74688.0,8.3,33.4,147.7727276035009,0.989283424043597,0.010716575956402963,,,,,,
28091,Marion,76.2505718972072,"Marion County, Mississippi",34286.0,9.6,31.6,147.93936034102566,0.9903989682161224,0.009601031783877612,,,,,,
28093,Marshall,131.309404577319,"Marshall County, Mississippi",42968.0,10.4,33.6,146.91031801001404,0.9835099127238228,0.01649008727617718,,,,,,
28095,Monroe,86.582151039302,"Monroe County, Mississippi",47353.0,13.1,34.5,147.7458487682564,0.989103480243437,0.010896519756563028,,,,,,
28097,Montgomery,113.37847324736,"Montgomery County, Mississippi",35903.0,10.7,28.0,147.24484623443848,0.9857494547060607,0.01425054529393932,,,,,,
28099,Neshoba,144.815428762265,"Neshoba County, Mississippi",43416.0,12.7,36.0,146.6587240943794,0.9818255850784985,0.018174414921501514,,,,,,
28101,Newton,132.18266286272,"Newton County, Mississippi",44530.0,9.9,27.6,146.89404081904502,0.9834009429871414,0.016599057012858576,,,,,,
28103,Noxubee,69.7752223524075,"Noxubee County, Mississippi",38999.0,10.2,31.3,148.06074237925156,0.9912115757949423,0.008788424205057654,,,,,,
28105,Oktibbeha,90.2061537439683,"Oktibbeha County, Mississippi",41094.0,9.7,34.7,147.67801635781618,0.9886493674964524,0.01135063250354762,,,,,,
28107,Panola,86.8710990511755,"Panola County, Mississippi",39673.0,12.8,37.1,147.74043950511825,0.9890672672395516,0.010932732760448372,,,,,,
28109,Pearl River,54.6181429818004,"Pearl River County, Mississippi",53855.0,11.4,33.9,148.34516125306857,0.993115654320902,0.006884345679098014,,,,,,
28111,Perry,53.6732819624258,"Perry County, Mississippi",47368.0,10.0,29.1,148.3629050641553,0.993234442533532,0.0067655574664680085,,,,,,
28113,Pike,108.992551210548,"Pike County, Mississippi",36308.0,12.9,35.4,147.32676006764174,0.9862978373386483,0.013702162661351713,,,,,,
28115,Pontotoc,121.315056038301,"Pontotoc County, Mississippi",52150.0,10.8,32.8,147.09670623098177,0.9847577125068457,0.01524228749315426,,,,,,
28117,Prentiss,132.295059266809,"Prentiss County, Mississippi",46417.0,10.6,28.9,146.89194589369632,0.9833869182414682,0.016613081758531822,,,,,,
28119,Quitman,47.8984550618111,"Quitman County, Mississippi",25783.0,9.5,20.7,148.47138719254778,0.9939606900161635,0.006039309983836505,,,,,,
28121,Rankin,109.950374362512,"Rankin County, Mississippi",72326.0,9.5,36.9,147.3088682973791,0.9861780585943922,0.013821941405607774,,,,,,
28123,Scott,130.493874020784,"Scott County, Mississippi",43022.0,14.4,40.7,146.92552041480545,0.9836116871669806,0.016388312833019447,,,,,,
28125,Sharkey,28.4063251937367,"Sharkey County, Mississippi",38977.0,8.4,17.7,148.83799847823047,0.9964150161551947,0.003584983844805323,,,,,,
28127,Simpson,116.655215553925,"Simpson County, Mississippi",43842.0,11.7,29.0,147.18367060042266,0.9853399066002045,0.01466009339979546,,,,,,
28129,Smith,119.688168150006,"Smith County, Mississippi",51792.0,10.2,30.6,147.12706362777476,0.9849609439821758,0.015039056017824182,,,,,,
28131,Stone,55.3201213581703,"Stone County, Mississippi",50807.0,8.9,24.6,148.33197964685425,0.9930274083722647,0.006972591627735336,,,,,,
28133,Sunflower,37.3920258276302,"Sunflower County, Mississippi",32608.0,15.7,41.5,148.6689085881458,0.9952830222606043,0.004716977739395722,,,,,,
28135,Tallahatchie,57.5512539733993,"Tallahatchie County, Mississippi",31484.0,11.4,32.4,148.29008980105246,0.9927469714421253,0.007253028557874686,,,,,,
28137,Tate,93.0134203427798,"Tate County, Mississippi",54839.0,10.1,37.7,147.62548748872635,0.9882977062642543,0.011702293735745717,,,,,,
28139,Tippah,155.513215385886,"Tippah County, Mississippi",41506.0,12.1,31.4,146.45967494907222,0.9804930251182411,0.0195069748817589,,,,,,
28141,Tishomingo,159.676325669655,"Tishomingo County, Mississippi",40394.0,10.2,30.0,146.38226916599467,0.9799748222037682,0.020025177796231808,,,,,,
28143,Tunica,55.5113535121117,"Tunica County, Mississippi",41176.0,9.1,23.2,148.32838888277536,0.9930033695429048,0.006996630457095199,,,,,,
28145,Union,124.477002468357,"Union County, Mississippi",50543.0,8.8,29.2,147.03771855262428,0.9843628119499686,0.015637188050031448,,,,,,
28147,Walthall,104.415733854299,"Walthall County, Mississippi",34605.0,12.3,38.8,147.41227603803495,0.9868703349393422,0.013129665060657825,,,,,,
28149,Warren,46.9781373655775,"Warren County, Mississippi",50686.0,10.8,29.5,148.48868124301862,0.994076467248829,0.005923532751170968,,,,,,
28151,Washington,33.8572772118898,"Washington County, Mississippi",34399.0,14.2,38.2,148.7354068812716,0.9957282035886031,0.004271796411396855,,,,,,
28153,Wayne,74.2492196559906,"Wayne County, Mississippi",34766.0,13.7,29.0,147.9768681168205,0.990650068818164,0.009349931181836024,,,,,,
