n_rows,n_covariates,n_state_dummies,fold_count,alpha_outcome,alpha_treatment,treatment_mean,treatment_sd,treatment_q10,treatment_q90,outcome_mean,effect_per_unit_treatment,effect_per_sd_treatment,effect_q90_minus_q10,effect_q90_minus_q10_pct_of_mean_outcome,outcome_cv_mean_r2,treatment_cv_mean_r2,intercept,slope,slope_se,z_value,p_value,ci_lower,ci_upper,residual_variance,model_name,outcome,treatment,effect_type,analysis_group,event_type,site,support_count,site_rank_within_event
1103,61,21,5,25.0,10.0,0.03969707295620635,0.051823596357493666,0.00343818772334488,0.08804000116109023,44.89918404351768,-57.47712484831265,-2.978671317928224,-4.862668993354944,-0.10830194572449012,0.650570178484234,0.7638506318586451,0.022498046827670898,-57.47712484831265,10.78621200002936,-5.3287590535172304,9.888607781109742e-08,-78.6181003683702,-36.336149328255104,61.43777926991743,site_mortality__lung_and_bronchus__direct_effect,mortality_rate__lung_and_bronchus,hypoxia_burden,direct_effect,site,Mortality,Lung and Bronchus,1103.0,1.0
866,55,21,5,25.0,10.0,0.03708503187769918,0.04748937190420955,0.0027841576909672996,0.07974954763779049,15.728983833718244,-5.101458051369278,-0.24226503865519977,-0.39263570822099725,-0.024962560351756705,0.35857226060587755,0.704600548672078,-0.01589890714271363,-5.101458051369278,8.38949582076563,-0.6080768332635889,0.5431365164460962,-21.544869860069912,11.341953757331357,12.100229117533484,site_mortality__colon_and_rectum__total_effect,mortality_rate__colon_and_rectum,hypoxia_burden,total_effect,site,Mortality,Colon and Rectum,866.0,2.0
866,61,21,5,25.0,10.0,0.03708503187769918,0.04748937190420955,0.0027841576909672996,0.07974954763779049,15.728983833718244,-7.190128421874609,-0.3414546826654306,-0.5533910377573158,-0.03518288553205902,0.3673040899857055,0.7094087025081899,-0.014807736421060388,-7.190128421874609,8.427612611228966,-0.8531631380747697,0.39356884205715326,-23.70824913988338,9.327992296134166,11.920359221572497,site_mortality__colon_and_rectum__direct_effect,mortality_rate__colon_and_rectum,hypoxia_burden,direct_effect,site,Mortality,Colon and Rectum,866.0,2.0
703,55,21,5,25.0,10.0,0.03819538338883512,0.050227746065145656,0.00237400776441584,0.08804000116109023,11.856899004267424,0.8672445131439758,0.04355973718258649,0.07429336273629393,0.006265834153563673,0.12342670911787004,0.7251019727478878,0.00033500229615592394,0.8672445131439758,3.1043446469127165,0.2793647651224725,0.7799649083925708,-5.217270994804949,6.9517600210929,5.989548721753197,site_mortality__pancreas__total_effect,mortality_rate__pancreas,hypoxia_burden,total_effect,site,Mortality,Pancreas,703.0,3.0
703,61,21,5,25.0,10.0,0.03819538338883512,0.050227746065145656,0.00237400776441584,0.08804000116109023,11.856899004267424,-0.07585233823552552,-0.0038098919833415143,-0.0064979659064068425,-0.0005480324918065133,0.12739889283084882,0.7295625913492516,-0.002737984148173812,-0.07585233823552552,3.1891716726917805,-0.023784338386369556,0.981024632673757,-6.326628816711414,6.174924140240364,5.976939915682701,site_mortality__pancreas__direct_effect,mortality_rate__pancreas,hypoxia_burden,direct_effect,site,Mortality,Pancreas,703.0,3.0
653,55,21,5,25.0,10.0,0.03716240073062723,0.04983812194221063,0.00195256477213692,0.08234542709075764,20.903828483920368,8.418400902591454,0.4195572907417689,0.6767793447049872,0.03237585618469742,0.16834756178041937,0.7302243688678958,-0.046048808832811775,8.418400902591454,5.91968546466144,1.4221027371887436,0.1549964283046137,-3.184182608144969,20.020984413327877,16.615926284617863,site_mortality__male_and_female_breast__total_effect,mortality_rate__male_and_female_breast,hypoxia_burden,total_effect,site,Mortality,Male and Female Breast,653.0,4.0
653,61,21,5,25.0,10.0,0.03716240073062723,0.04983812194221063,0.00195256477213692,0.08234542709075764,20.903828483920368,8.003804649614795,0.39889459212913453,0.6434487652216185,0.03078138369325848,0.16271845266322074,0.7321942743787756,-0.05200430847522806,8.003804649614795,5.996548835015824,1.3347351734847788,0.18196303725913465,-3.7494310670162214,19.75704036624581,16.735872507131837,site_mortality__male_and_female_breast__direct_effect,mortality_rate__male_and_female_breast,hypoxia_burden,direct_effect,site,Mortality,Male and Female Breast,653.0,4.0
562,55,21,5,25.0,10.0,0.03999020131358099,0.054045836109560215,0.0019481722184845102,0.09500485725829678,20.83825622775801,30.061789421213003,1.624714544218989,2.797450469902979,0.13424590039240328,0.32282616759590893,0.7002266917631716,0.039426986785596384,30.061789421213003,8.118588264439067,3.702834586758052,0.00021320390138117838,14.149356422912431,45.97422241951357,23.7664137911552,site_mortality__prostate__total_effect,mortality_rate__prostate,hypoxia_burden,total_effect,site,Mortality,Prostate,562.0,5.0
562,61,21,5,25.0,10.0,0.03999020131358099,0.054045836109560215,0.0019481722184845102,0.09500485725829678,20.83825622775801,27.362380391676595,1.4788227262159972,2.5462524140477845,0.12219124221421171,0.3247864762166138,0.7026734716112374,0.0038081167499084845,27.362380391676595,8.366201962164364,3.2705856869606165,0.001073250222590929,10.96462454583444,43.76013623751875,23.847300690725948,site_mortality__prostate__direct_effect,mortality_rate__prostate,hypoxia_burden,direct_effect,site,Mortality,Prostate,562.0,5.0
499,55,21,5,25.0,10.0,0.03667283537851811,0.04961342853929482,0.00146519003758874,0.08886268775120916,7.140480961923847,-3.4752550325323774,-0.1724193172123698,-0.3037285937599963,-0.042536153429945316,0.3594122561913037,0.6136812424436193,-0.0050820730954611055,-3.4752550325323774,1.9883225678179743,-1.7478326146779057,0.08049301598288978,-7.3723672654556065,0.42185720039085206,2.376352013902703,site_mortality__liver_and_intrahepatic_bile_duct__total_effect,mortality_rate__liver_and_intrahepatic_bile_duct,hypoxia_burden,total_effect,site,Mortality,Liver and Intrahepatic Bile Duct,499.0,6.0
499,61,21,5,25.0,10.0,0.03667283537851811,0.04961342853929482,0.00146519003758874,0.08886268775120916,7.140480961923847,-4.006169906730913,-0.19875982438386755,-0.3501292252638899,-0.04903440358302632,0.3814694164329134,0.6143934671544921,-0.005945368021013203,-4.006169906730913,2.0419238293838107,-1.961958545701409,0.04976731074050261,-8.008340612323181,-0.003999201138644715,2.2819580719127335,site_mortality__liver_and_intrahepatic_bile_duct__direct_effect,mortality_rate__liver_and_intrahepatic_bile_duct,hypoxia_burden,direct_effect,site,Mortality,Liver and Intrahepatic Bile Duct,499.0,6.0
475,55,21,5,25.0,10.0,0.03852950487212402,0.051632570289985566,0.0016412817981213401,0.09134365902099552,6.657052631578948,0.8538745400713975,0.04408773720906553,0.07659457609449269,0.011505778958566783,0.2072633018828796,0.7071298661061897,0.011918419798522102,0.8538745400713975,2.500859530811274,0.3414324273520481,0.732778066677724,-4.0478101403187,5.755559220461495,3.171135054211475,site_mortality__leukemias__total_effect,mortality_rate__leukemias,hypoxia_burden,total_effect,site,Mortality,Leukemias,475.0,7.0
475,61,21,5,25.0,10.0,0.03852950487212402,0.051632570289985566,0.0016412817981213401,0.09134365902099552,6.657052631578948,0.03003350619889829,0.0015507071198693333,0.0026940769023791047,0.00040469514836029047,0.1983270599442713,0.7154490007807083,0.012336905738004666,0.03003350619889829,2.728292892150593,0.01100816788597217,0.9912169301897974,-5.317420562416264,5.377487574814061,3.213798192997857,site_mortality__leukemias__direct_effect,mortality_rate__leukemias,hypoxia_burden,direct_effect,site,Mortality,Leukemias,475.0,7.0
415,55,21,5,25.0,10.0,0.03807378638444847,0.04983199712863665,0.0015317863548105408,0.09134365902099552,5.536626506024096,-0.02294705447445752,-0.0011434975526818359,-0.0020609179345239892,-0.0003722335130032013,0.3059324219237576,0.6621229946598438,-0.003805985132962723,-0.02294705447445752,1.685753139529887,-0.013612345684764295,0.9891392549515385,-3.327023207953036,3.281129099004121,1.5079278653626196,site_mortality__non_hodgkin_lymphoma__total_effect,mortality_rate__non_hodgkin_lymphoma,hypoxia_burden,total_effect,site,Mortality,Non-Hodgkin Lymphoma,415.0,8.0
415,61,21,5,25.0,10.0,0.03807378638444847,0.04983199712863665,0.0015317863548105408,0.09134365902099552,5.536626506024096,-0.8376469991874933,-0.04174162285832227,-0.07523064563023911,-0.013587813002806821,0.3010310640367974,0.6696611812705354,-0.007511089204167559,-0.8376469991874933,1.8930241757283741,-0.44249144301878446,0.6581336210411344,-4.547974383615107,2.8726803852401197,1.5168425529191052,site_mortality__non_hodgkin_lymphoma__direct_effect,mortality_rate__non_hodgkin_lymphoma,hypoxia_burden,direct_effect,site,Mortality,Non-Hodgkin Lymphoma,415.0,8.0
