model_name,analysis_group,event_type,site,fold,n_test,outcome_r2,treatment_r2
site_incidence__kidney_and_renal_pelvis__direct_effect,site,Incidence,Kidney and Renal Pelvis,2,157,0.34200249343780253,0.7858085685793454
site_incidence__kidney_and_renal_pelvis__direct_effect,site,Incidence,Kidney and Renal Pelvis,3,157,0.45091158009411914,0.7632751074711916
site_incidence__kidney_and_renal_pelvis__direct_effect,site,Incidence,Kidney and Renal Pelvis,4,157,0.4717453430305145,0.7111565005198972
site_incidence__non_hodgkin_lymphoma__total_effect,site,Incidence,Non-Hodgkin Lymphoma,0,151,0.18322583331764508,0.7747718511329419
site_incidence__non_hodgkin_lymphoma__total_effect,site,Incidence,Non-Hodgkin Lymphoma,1,151,0.1586365491633568,0.8651351975896518
site_incidence__non_hodgkin_lymphoma__total_effect,site,Incidence,Non-Hodgkin Lymphoma,2,151,0.2256688993306598,0.7853815839051784
site_incidence__non_hodgkin_lymphoma__total_effect,site,Incidence,Non-Hodgkin Lymphoma,3,151,0.1004395567982932,0.7743235230843285
site_incidence__non_hodgkin_lymphoma__total_effect,site,Incidence,Non-Hodgkin Lymphoma,4,150,0.19466427145611953,0.6544549485209277
site_incidence__non_hodgkin_lymphoma__direct_effect,site,Incidence,Non-Hodgkin Lymphoma,0,151,0.19681795875707753,0.7813446416246034
site_incidence__non_hodgkin_lymphoma__direct_effect,site,Incidence,Non-Hodgkin Lymphoma,1,151,0.16328489764432363,0.8613260311905251
site_incidence__non_hodgkin_lymphoma__direct_effect,site,Incidence,Non-Hodgkin Lymphoma,2,151,0.23085012753977263,0.7779002520057334
site_incidence__non_hodgkin_lymphoma__direct_effect,site,Incidence,Non-Hodgkin Lymphoma,3,151,0.11038301893586377,0.774005175438393
site_incidence__non_hodgkin_lymphoma__direct_effect,site,Incidence,Non-Hodgkin Lymphoma,4,150,0.17083150679103698,0.6840000510362538
site_mortality__lung_and_bronchus__total_effect,site,Mortality,Lung and Bronchus,0,221,0.658634252229334,0.8079007568909873
site_mortality__lung_and_bronchus__total_effect,site,Mortality,Lung and Bronchus,1,221,0.6385916484333833,0.8102237884263379
site_mortality__lung_and_bronchus__total_effect,site,Mortality,Lung and Bronchus,2,221,0.6157728161147882,0.7282669498686678
site_mortality__lung_and_bronchus__total_effect,site,Mortality,Lung and Bronchus,3,220,0.6500814248855081,0.7103578390095505
site_mortality__lung_and_bronchus__total_effect,site,Mortality,Lung and Bronchus,4,220,0.6941029049692674,0.7430363360987777
site_mortality__lung_and_bronchus__direct_effect,site,Mortality,Lung and Bronchus,0,221,0.6622190941135075,0.8065507948595085
site_mortality__lung_and_bronchus__direct_effect,site,Mortality,Lung and Bronchus,1,221,0.6315581013122679,0.8087194314249052
site_mortality__lung_and_bronchus__direct_effect,site,Mortality,Lung and Bronchus,2,221,0.6120731169552203,0.7291277429794805
site_mortality__lung_and_bronchus__direct_effect,site,Mortality,Lung and Bronchus,3,220,0.6510052257681158,0.7249860960532151
site_mortality__lung_and_bronchus__direct_effect,site,Mortality,Lung and Bronchus,4,220,0.6959953542720587,0.7498690939761166
site_mortality__colon_and_rectum__total_effect,site,Mortality,Colon and Rectum,0,174,0.45874437703155535,0.7020473109668488
