source,feature,source_column
acs_dp02,acs_dp02_dp02_0028m,dp02_0028m
acs_dp02,acs_dp02_dp02_0028pe,dp02_0028pe
acs_dp02,acs_dp02_dp02_0028pm,dp02_0028pm
acs_dp02,acs_dp02_dp02_0029e,dp02_0029e
acs_dp02,acs_dp02_dp02_0029m,dp02_0029m
acs_dp02,acs_dp02_dp02_0029pe,dp02_0029pe
acs_dp02,acs_dp02_dp02_0029pm,dp02_0029pm
acs_dp02,acs_dp02_dp02_0030e,dp02_0030e
acs_dp02,acs_dp02_dp02_0030m,dp02_0030m
acs_dp02,acs_dp02_dp02_0030pe,dp02_0030pe
acs_dp02,acs_dp02_dp02_0030pm,dp02_0030pm
acs_dp02,acs_dp02_dp02_0031e,dp02_0031e
acs_dp02,acs_dp02_dp02_0031m,dp02_0031m
acs_dp02,acs_dp02_dp02_0031pe,dp02_0031pe
acs_dp02,acs_dp02_dp02_0031pm,dp02_0031pm
acs_dp02,acs_dp02_dp02_0032e,dp02_0032e
acs_dp02,acs_dp02_dp02_0032m,dp02_0032m
acs_dp02,acs_dp02_dp02_0032pe,dp02_0032pe
acs_dp02,acs_dp02_dp02_0032pm,dp02_0032pm
acs_dp02,acs_dp02_dp02_0033e,dp02_0033e
acs_dp02,acs_dp02_dp02_0033m,dp02_0033m
acs_dp02,acs_dp02_dp02_0033pe,dp02_0033pe
acs_dp02,acs_dp02_dp02_0033pm,dp02_0033pm
acs_dp02,acs_dp02_dp02_0034e,dp02_0034e
acs_dp02,acs_dp02_dp02_0034m,dp02_0034m
acs_dp02,acs_dp02_dp02_0034pe,dp02_0034pe
acs_dp02,acs_dp02_dp02_0034pm,dp02_0034pm
acs_dp02,acs_dp02_dp02_0035e,dp02_0035e
acs_dp02,acs_dp02_dp02_0035m,dp02_0035m
acs_dp02,acs_dp02_dp02_0035pe,dp02_0035pe
acs_dp02,acs_dp02_dp02_0035pm,dp02_0035pm
acs_dp02,acs_dp02_dp02_0036e,dp02_0036e
acs_dp02,acs_dp02_dp02_0036m,dp02_0036m
acs_dp02,acs_dp02_dp02_0036pe,dp02_0036pe
acs_dp02,acs_dp02_dp02_0036pm,dp02_0036pm
acs_dp02,acs_dp02_dp02_0037e,dp02_0037e
acs_dp02,acs_dp02_dp02_0037m,dp02_0037m
acs_dp02,acs_dp02_dp02_0037pe,dp02_0037pe
acs_dp02,acs_dp02_dp02_0037pm,dp02_0037pm
acs_dp02,acs_dp02_dp02_0038e,dp02_0038e
acs_dp02,acs_dp02_dp02_0038m,dp02_0038m
acs_dp02,acs_dp02_dp02_0038pe,dp02_0038pe
acs_dp02,acs_dp02_dp02_0038pm,dp02_0038pm
acs_dp02,acs_dp02_dp02_0039e,dp02_0039e
acs_dp02,acs_dp02_dp02_0039m,dp02_0039m
acs_dp02,acs_dp02_dp02_0039pe,dp02_0039pe
acs_dp02,acs_dp02_dp02_0039pm,dp02_0039pm
acs_dp02,acs_dp02_dp02_0040e,dp02_0040e
acs_dp02,acs_dp02_dp02_0040m,dp02_0040m
acs_dp02,acs_dp02_dp02_0040pe,dp02_0040pe
acs_dp02,acs_dp02_dp02_0040pm,dp02_0040pm
acs_dp02,acs_dp02_dp02_0041e,dp02_0041e
acs_dp02,acs_dp02_dp02_0041m,dp02_0041m
acs_dp02,acs_dp02_dp02_0041pe,dp02_0041pe
acs_dp02,acs_dp02_dp02_0041pm,dp02_0041pm
acs_dp02,acs_dp02_dp02_0042e,dp02_0042e
acs_dp02,acs_dp02_dp02_0042m,dp02_0042m
acs_dp02,acs_dp02_dp02_0042pe,dp02_0042pe
acs_dp02,acs_dp02_dp02_0042pm,dp02_0042pm
acs_dp02,acs_dp02_dp02_0043e,dp02_0043e
acs_dp02,acs_dp02_dp02_0043m,dp02_0043m
acs_dp02,acs_dp02_dp02_0043pe,dp02_0043pe
acs_dp02,acs_dp02_dp02_0043pm,dp02_0043pm
acs_dp02,acs_dp02_dp02_0044e,dp02_0044e
acs_dp02,acs_dp02_dp02_0044m,dp02_0044m
acs_dp02,acs_dp02_dp02_0044pe,dp02_0044pe
acs_dp02,acs_dp02_dp02_0044pm,dp02_0044pm
acs_dp02,acs_dp02_dp02_0045e,dp02_0045e
acs_dp02,acs_dp02_dp02_0045m,dp02_0045m
acs_dp02,acs_dp02_dp02_0045pe,dp02_0045pe
acs_dp02,acs_dp02_dp02_0045pm,dp02_0045pm
acs_dp02,acs_dp02_dp02_0046e,dp02_0046e
acs_dp02,acs_dp02_dp02_0046m,dp02_0046m
acs_dp02,acs_dp02_dp02_0046pe,dp02_0046pe
acs_dp02,acs_dp02_dp02_0046pm,dp02_0046pm
acs_dp02,acs_dp02_dp02_0047e,dp02_0047e
